date,ticker,close,currency,source
2026-09-08,JD,28.26,USD,sheet
2026-09-08,KLAC,185.6,USD,sheet
2026-09-08,LITE,881.26,USD,sheet
2026-09-08,LPK.DE,13.7,EUR,sheet
2026-09-08,LRCX,307.65,USD,sheet
2026-09-08,LWLG,5.35,USD,sheet
2026-09-08,MELI,1921.96,USD,sheet
2026-09-08,META,616.77,USD,sheet
2026-09-08,MRVL,223.55,USD,sheet
2026-09-08,MSFT,499.7,USD,sheet
2026-09-08,MTSI,268.95,USD,sheet
2026-09-08,MU,1016.59,USD,sheet
2026-09-08,NBIS,226.39,USD,sheet
2026-09-08,NFLX,78.25,USD,sheet
2026-09-08,NOK,10.03,USD,sheet
2026-09-08,NVDA,230.36,USD,sheet
2026-09-08,NVTS,11.8,USD,sheet
2026-09-08,ORCL,158.78,USD,sheet
2026-09-08,OUST,36.43,USD,sheet
2026-09-08,POET,7.92,USD,sheet
2026-09-08,QBTS,16.58,USD,sheet
2026-09-08,QCOM,168.74,USD,sheet
2026-09-08,QQQ,718.96,USD,sheet
2026-09-08,RDDT,144.64,USD,sheet
2026-09-08,RGTI,15.2,USD,sheet
2026-09-08,RKLB,62.54,USD,sheet
2026-09-08,SHAZ,55.94,USD,sheet
2026-09-08,SIMO,256.21,USD,sheet
2026-09-08,SIVE,28.52,SEK,sheet
2026-09-08,SMH,567.01,USD,sheet
2026-09-08,SMHD,2.37,USD,sheet
2026-09-08,SMTC,147.89,USD,sheet
2026-09-08,SNDK,1740,USD,sheet
2026-09-08,SOI,0.18,CAD,sheet
2026-09-08,SOI.PA,143.35,EUR,sheet
2026-09-08,SPCX,147.95,USD,sheet
2026-09-08,TER,357.03,USD,sheet
2026-09-08,TSEM,222.34,USD,sheet
2026-09-08,TSLA,354.08,USD,sheet
2026-09-08,TSM,428.91,USD,sheet
2026-09-08,UBER,75.76,USD,sheet
2026-09-08,UPWK,8.79,USD,sheet
2026-09-08,VECO,44.67,USD,sheet
2026-09-08,VPG,63.01,USD,sheet
2026-09-08,VRT,280.53,USD,sheet
2026-09-08,WLAC,18.83,USD,sheet
2026-09-08,WULF,16.51,USD,sheet
2026-09-08,XFAB,6.35,EUR,sheet
2026-09-08,XPEV,10.95,USD,sheet
2026-09-09,000660.KS,1.829e+06,KRW,sheet
2026-09-09,AAOI,111.55,USD,sheet
2026-09-09,AAPL,316.22,USD,sheet
2026-09-09,ACMR,76.91,USD,sheet
2026-09-09,AEHR,90.79,USD,sheet
2026-09-09,AEVA,16.25,USD,sheet
2026-09-09,AGLT,1,USD,sheet
2026-09-09,ALAB,288.85,USD,sheet
2026-09-09,ALMU,13.31,USD,sheet
2026-09-09,AMAT,472.79,USD,sheet
2026-09-09,AMD,505.74,USD,sheet
2026-09-09,AMKR,50.72,USD,sheet
2026-09-09,AMZN,256.97,USD,sheet
2026-09-09,ARM,261.53,USD,sheet
2026-09-09,ASML,1764.85,USD,sheet
2026-09-09,ASTS,65.06,USD,sheet
2026-09-09,ASX,39.79,USD,sheet
2026-09-09,AVGO,368.56,USD,sheet
2026-09-09,AXTI,69.56,USD,sheet
2026-09-09,BABA,112.66,USD,sheet
2026-09-09,BE,277.22,USD,sheet
2026-09-09,BOT,27.19,USD,sheet
2026-09-09,BRUN,18.82,USD,sheet
2026-09-09,BULL,9.57,USD,sheet
2026-09-09,BWA,66.26,USD,sheet
2026-09-09,CAMT,147.01,USD,sheet
2026-09-09,CATL,335.49,CNY,sheet
2026-09-09,CBRS,199.77,USD,sheet
2026-09-09,CCXI,13.6,USD,sheet
2026-09-09,CEG,299.05,USD,sheet
2026-09-09,CIFR,18.51,USD,sheet
2026-09-09,COHR,301.88,USD,sheet
2026-09-09,COIN,178.94,USD,sheet
2026-09-09,CRCL,62.61,USD,sheet
2026-09-09,CRWV,99.83,USD,sheet
2026-09-09,DASH,200.44,USD,sheet
2026-09-09,DJT,9.23,USD,sheet
2026-09-09,DRAM,5.9,USD,sheet
2026-09-09,ENS,180.52,USD,sheet
2026-09-09,EOS,21.57,USD,sheet
2026-09-09,ETHA,18.72,USD,sheet
2026-09-09,ETN,422.13,USD,sheet
2026-09-09,EWY,189.91,USD,sheet
2026-09-09,FCEL,17.76,USD,sheet
2026-09-09,FDX,314.13,USD,sheet
2026-09-09,FN,416.31,USD,sheet
2026-09-09,FORD,14,USD,sheet
2026-09-09,GEV,971.31,USD,sheet
2026-09-09,GFS,45.09,USD,sheet
2026-09-09,GLW,165.96,USD,sheet
